source_id, target_id, reporter
'10.1111/mec.13100', '10.5061/dryad.mh67v', 'Crossref'
'10.1111/1365-2745.12554', '10.5061/dryad.b58j2', 'Crossref'
'10.1111/1365-2745.12563', '10.5061/dryad.g5510', 'Crossref'
'10.3390/f3020332', '10.5061/dryad.234/1', 'Crossref'
'10.1111/1365-2745.12445', '10.5061/dryad.6g9b7', 'Crossref'
'10.1111/1365-2745.12616', '10.5061/dryad.b1m1h', 'Crossref'
'10.1111/1365-2745.12257', '10.5061/dryad.f2g14', 'Crossref'
'10.1111/1365-2664.12349', '10.5061/dryad.46181', 'Crossref'
'10.1111/nph.13926', '10.5061/dryad.hp269', 'Crossref'
'10.1111/ele.12740', '10.5061/dryad.s91p4', 'Crossref'
'10.1111/1365-2664.12326', '10.5061/dryad.cr571', 'Crossref'
'10.1111/1365-2745.12541', '10.5061/dryad.6sk0g', 'Crossref'
'10.1111/1365-2745.12533', '10.5061/dryad.kb0pq', 'Crossref'
'10.1111/1365-2745.12439', '10.5061/dryad.4st55', 'Crossref'
'10.1111/1365-2745.12752', '10.5061/dryad.sc38s', 'Crossref'
'10.1111/1365-2664.12381', '10.5061/dryad.48kc1', 'Crossref'
'10.1111/1365-2745.12601', '10.5061/dryad.k6t16', 'Crossref'
'10.1111/1365-2435.12566', '10.5061/dryad.dh11k', 'Crossref'
'10.1111/mec.12962', '10.5061/dryad.sj3vp', 'Crossref'
'10.1111/1365-2745.12440', '10.5061/dryad.3mf71', 'Crossref'
'10.1111/gcb.13586', '10.5061/dryad.233hb', 'Crossref'
'10.1111/1365-2745.12592', '10.5061/dryad.710ng', 'Crossref'
'10.1111/1365-2745.12261', '10.5061/dryad.d61jk', 'Crossref'
'10.1111/jpy.12528', '10.5061/dryad.2k0s6', 'Crossref'
'10.1111/ele.12657', '10.5061/dryad.fd11f', 'Crossref'
'10.1111/1365-2745.12256', '10.5061/dryad.q8v3f', 'Crossref'
'10.1111/gcb.13367', '10.5061/dryad.3pm63', 'Crossref'
'10.1111/1365-2664.12363', '10.5061/dryad.7266j', 'Crossref'
'10.1111/1365-2664.12632', '10.5061/dryad.35h47', 'Crossref'
'10.1111/1365-2435.12392', '10.5061/dryad.kn1bn', 'Crossref'
'10.1111/fwb.12872', '10.5061/dryad.1nq6m', 'Crossref'
'10.1111/1365-2745.12607', '10.5061/dryad.gd3qh', 'Crossref'
'10.1111/1365-2656.12535', '10.5061/dryad.vq61n', 'Crossref'
'10.1111/1365-2664.12354', '10.5061/dryad.vb120', 'Crossref'
'10.1111/imb.12234', '10.5061/dryad.567v8', 'Crossref'
'10.1111/nph.13799', '10.5061/dryad.65d76', 'Crossref'
'10.1111/1365-2745.12565', '10.5061/dryad.762b8', 'Crossref'
'10.1111/nph.13926', '10.5061/dryad.63q27.2/2.1', 'Crossref'
