"old","ADCAD"
"atmosphere","Atmospheric Science"
"oceanography","Oceanography"
"limnology/hydrology","Hydrology"
"ice/snow cover","Cryology"
"glaciology","Glaciology"
"soil science","Soil Science"
"permafrost","Soil Science"
"archaeology","Archaeology"
"political science","Political Science"
"anthropology","Anthropology"
"economics","Economics"
