target_id,source_id,source_url,link_publication_date,origin,title,publisher,journal,volume,page,year_of_publishing,citationMetadata
10.18739/A2XD0QX8B,10.1371/journal.pone.0231178,https://doi.org/10.1371%2Fjournal.pone.0231178,2020-04-23,"Chelsea Wegner Koch, Lee W. Cooper, Catherine Lalande, Thomas A. Brown, Karen E. Frey, Jacqueline M. Grebmeier",Seasonal and latitudinal variations in sea ice algae deposition in the Northern Bering and Chukchi Seas determined by algal biomarkers,Public Library of Science ({PLoS}),PLOS} {ONE},15,e0231178,2020,
10.18739/A2804XK1F,10.1371/journal.pone.0231178,https://doi.org/10.1371%2Fjournal.pone.0231178,2020-04-23,"Chelsea Wegner Koch, Lee W. Cooper, Catherine Lalande, Thomas A. Brown, Karen E. Frey, Jacqueline M. Grebmeier",Seasonal and latitudinal variations in sea ice algae deposition in the Northern Bering and Chukchi Seas determined by algal biomarkers,Public Library of Science ({PLoS}),PLOS} {ONE},15,e0231178,2020,
10.18739/A2HH6C58X,10.1371/journal.pone.0231178,https://doi.org/10.1371%2Fjournal.pone.0231178,2020-04-23,"Chelsea Wegner Koch, Lee W. Cooper, Catherine Lalande, Thomas A. Brown, Karen E. Frey, Jacqueline M. Grebmeier",Seasonal and latitudinal variations in sea ice algae deposition in the Northern Bering and Chukchi Seas determined by algal biomarkers,Public Library of Science ({PLoS}),PLOS} {ONE},15,e0231178,2020,
10.18739/A2BR8MG32,10.1371/journal.pone.0231178,https://doi.org/10.1371%2Fjournal.pone.0231178,2020-04-23,"Chelsea Wegner Koch, Lee W. Cooper, Catherine Lalande, Thomas A. Brown, Karen E. Frey, Jacqueline M. Grebmeier",Seasonal and latitudinal variations in sea ice algae deposition in the Northern Bering and Chukchi Seas determined by algal biomarkers,Public Library of Science ({PLoS}),PLOS} {ONE},15,e0231178,2020,
10.5065/D60C4SVZ,10.1007/s00300-017-2179-z,https://doi.org/10.1007/s00300-017-2179-z,2021-02-04,"Monika Kędra, Jacqueline M. Grebmeier, Lee W. Cooper",Sipunculan fauna in the Pacific Arctic region: a significant component of benthic infaunal communities,Springer Science and Business Media LLC,Polar Biology,41,163-174,2017,
10.5065/D6H70CVR,10.1007/s00300-017-2179-z,https://doi.org/10.1007/s00300-017-2179-z,2021-02-04,"Monika Kędra, Jacqueline M. Grebmeier, Lee W. Cooper",Sipunculan fauna in the Pacific Arctic region: a significant component of benthic infaunal communities,Springer Science and Business Media LLC,Polar Biology,41,163-174,2017,
10.18739/A28Q18,10.1038/s41558-019-0688-1,https://doi.org/10.1038/s41558-019-0688-1,2021-06-30,"Isla H. Myers-Smith, Jeffrey T. Kerby, Gareth K. Phoenix, Jarle W. Bjerke, Howard E. Epstein, Jakob J. Assmann, Christian John, Laia Andreu-Hayles, Sandra Angers-Blondin, Pieter S. A. Beck, Logan T. Berner, Uma S. Bhatt, Anne D. Bjorkman, Daan Blok, Anders Bryn, Casper T. Christiansen, J. Hans C. Cornelissen, Andrew M. Cunliffe, Sarah C. Elmendorf, Bruce C. Forbes, Scott J. Goetz, Robert D. Hollister, Rogier de Jong, Michael M. Loranty, Marc Macias-Fauria, Kadmiel Maseyk, Signe Normand, Johan Olofsson, Thomas C. Parker, Frans-Jan W. Parmentier, Eric Post, Gabriela Schaepman-Strub, Frode Stordal, Patrick F. Sullivan, Haydn J. D. Thomas, Hans Tømmervik, Rachael Treharne, Craig E. Tweedie, Donald A. Walker, Martin Wilmking, Sonja Wipf",Complexity revealed in the greening of the Arctic,Springer Science and Business Media LLC,Nature Climate Change,10,106-117,2020,
10.5065/D6542KRH,10.1038/s41558-019-0688-1,https://doi.org/10.1038/s41558-019-0688-1,2021-06-30,"Isla H. Myers-Smith, Jeffrey T. Kerby, Gareth K. Phoenix, Jarle W. Bjerke, Howard E. Epstein, Jakob J. Assmann, Christian John, Laia Andreu-Hayles, Sandra Angers-Blondin, Pieter S. A. Beck, Logan T. Berner, Uma S. Bhatt, Anne D. Bjorkman, Daan Blok, Anders Bryn, Casper T. Christiansen, J. Hans C. Cornelissen, Andrew M. Cunliffe, Sarah C. Elmendorf, Bruce C. Forbes, Scott J. Goetz, Robert D. Hollister, Rogier de Jong, Michael M. Loranty, Marc Macias-Fauria, Kadmiel Maseyk, Signe Normand, Johan Olofsson, Thomas C. Parker, Frans-Jan W. Parmentier, Eric Post, Gabriela Schaepman-Strub, Frode Stordal, Patrick F. Sullivan, Haydn J. D. Thomas, Hans Tømmervik, Rachael Treharne, Craig E. Tweedie, Donald A. Walker, Martin Wilmking, Sonja Wipf",Complexity revealed in the greening of the Arctic,Springer Science and Business Media LLC,Nature Climate Change,10,106-117,2020,
10.18739/A24X0Q,10.1038/s41558-019-0688-1,https://doi.org/10.1038/s41558-019-0688-1,2021-06-30,"Isla H. Myers-Smith, Jeffrey T. Kerby, Gareth K. Phoenix, Jarle W. Bjerke, Howard E. Epstein, Jakob J. Assmann, Christian John, Laia Andreu-Hayles, Sandra Angers-Blondin, Pieter S. A. Beck, Logan T. Berner, Uma S. Bhatt, Anne D. Bjorkman, Daan Blok, Anders Bryn, Casper T. Christiansen, J. Hans C. Cornelissen, Andrew M. Cunliffe, Sarah C. Elmendorf, Bruce C. Forbes, Scott J. Goetz, Robert D. Hollister, Rogier de Jong, Michael M. Loranty, Marc Macias-Fauria, Kadmiel Maseyk, Signe Normand, Johan Olofsson, Thomas C. Parker, Frans-Jan W. Parmentier, Eric Post, Gabriela Schaepman-Strub, Frode Stordal, Patrick F. Sullivan, Haydn J. D. Thomas, Hans Tømmervik, Rachael Treharne, Craig E. Tweedie, Donald A. Walker, Martin Wilmking, Sonja Wipf",Complexity revealed in the greening of the Arctic,Springer Science and Business Media LLC,Nature Climate Change,10,106-117,2020,
10.18739/A24X0Q,10.1038/s41558-019-0688-1,https://doi.org/10.1038/s41558-019-0688-1,2021-06-30,"Isla H. Myers-Smith, Jeffrey T. Kerby, Gareth K. Phoenix, Jarle W. Bjerke, Howard E. Epstein, Jakob J. Assmann, Christian John, Laia Andreu-Hayles, Sandra Angers-Blondin, Pieter S. A. Beck, Logan T. Berner, Uma S. Bhatt, Anne D. Bjorkman, Daan Blok, Anders Bryn, Casper T. Christiansen, J. Hans C. Cornelissen, Andrew M. Cunliffe, Sarah C. Elmendorf, Bruce C. Forbes, Scott J. Goetz, Robert D. Hollister, Rogier de Jong, Michael M. Loranty, Marc Macias-Fauria, Kadmiel Maseyk, Signe Normand, Johan Olofsson, Thomas C. Parker, Frans-Jan W. Parmentier, Eric Post, Gabriela Schaepman-Strub, Frode Stordal, Patrick F. Sullivan, Haydn J. D. Thomas, Hans Tømmervik, Rachael Treharne, Craig E. Tweedie, Donald A. Walker, Martin Wilmking, Sonja Wipf",Complexity revealed in the greening of the Arctic,Springer Science and Business Media LLC,Nature Climate Change,10,106-117,2020,
10.18739/A28Q18,10.1038/s41558-019-0688-1,https://doi.org/10.1038/s41558-019-0688-1,2021-06-30,"Isla H. Myers-Smith, Jeffrey T. Kerby, Gareth K. Phoenix, Jarle W. Bjerke, Howard E. Epstein, Jakob J. Assmann, Christian John, Laia Andreu-Hayles, Sandra Angers-Blondin, Pieter S. A. Beck, Logan T. Berner, Uma S. Bhatt, Anne D. Bjorkman, Daan Blok, Anders Bryn, Casper T. Christiansen, J. Hans C. Cornelissen, Andrew M. Cunliffe, Sarah C. Elmendorf, Bruce C. Forbes, Scott J. Goetz, Robert D. Hollister, Rogier de Jong, Michael M. Loranty, Marc Macias-Fauria, Kadmiel Maseyk, Signe Normand, Johan Olofsson, Thomas C. Parker, Frans-Jan W. Parmentier, Eric Post, Gabriela Schaepman-Strub, Frode Stordal, Patrick F. Sullivan, Haydn J. D. Thomas, Hans Tømmervik, Rachael Treharne, Craig E. Tweedie, Donald A. Walker, Martin Wilmking, Sonja Wipf",Complexity revealed in the greening of the Arctic,Springer Science and Business Media LLC,Nature Climate Change,10,106-117,2020,
10.5065/D6542KRH,10.1038/s41558-019-0688-1,https://doi.org/10.1038/s41558-019-0688-1,2021-06-30,"Isla H. Myers-Smith, Jeffrey T. Kerby, Gareth K. Phoenix, Jarle W. Bjerke, Howard E. Epstein, Jakob J. Assmann, Christian John, Laia Andreu-Hayles, Sandra Angers-Blondin, Pieter S. A. Beck, Logan T. Berner, Uma S. Bhatt, Anne D. Bjorkman, Daan Blok, Anders Bryn, Casper T. Christiansen, J. Hans C. Cornelissen, Andrew M. Cunliffe, Sarah C. Elmendorf, Bruce C. Forbes, Scott J. Goetz, Robert D. Hollister, Rogier de Jong, Michael M. Loranty, Marc Macias-Fauria, Kadmiel Maseyk, Signe Normand, Johan Olofsson, Thomas C. Parker, Frans-Jan W. Parmentier, Eric Post, Gabriela Schaepman-Strub, Frode Stordal, Patrick F. Sullivan, Haydn J. D. Thomas, Hans Tømmervik, Rachael Treharne, Craig E. Tweedie, Donald A. Walker, Martin Wilmking, Sonja Wipf",Complexity revealed in the greening of the Arctic,Springer Science and Business Media LLC,Nature Climate Change,10,106-117,2020,
10.18739/A23T0C,10.1038/nature22340,https://doi.org/10.1038%2Fnature22340,2020-05-07,"Lei Geng, Lee T. Murray, Loretta J. Mickley, Pu Lin, Qiang Fu, Andrew J. Schauer, Becky Alexander",Isotopic evidence of multiple controls on atmospheric oxidants over climate transitions,Springer Science and Business Media {LLC,Nature,546,133--136,2017,
10.18739/A2599Z216,10.1038/s41586-020-1991-8,https://doi.org/10.1038%2Fs41586-020-1991-8,2020-05-07,"Benjamin Hmiel, V. V. Petrenko, M. N. Dyonisius, C. Buizert, A. M. Smith, P. F. Place, C. Harth, R. Beaudette, Q. Hua, B. Yang, I. Vimont, S. E. Michel, J. P. Severinghaus, D. Etheridge, T. Bromley, J. Schmitt, X. Faïn, R. F. Weiss, E. Dlugokencky",Preindustrial 14CH4 indicates greater anthropogenic fossil {CH}4 emissions,Springer Science and Business Media {LLC,Nature,578,409--412,2020,
10.18739/A22274,10.1111/1365-2745.13191,https://doi.org/10.1111%2F1365-2745.13191,2020-06-11,"Ryan T. Choi, Karen H. Beard, A. Joshua Leffler, Katharine C. Kelsey, Joel A. Schmutz, Jeffrey M. Welker",Phenological mismatch between season advancement and migration timing alters Arctic plant traits,Wiley,Journal of Ecology,107,2503--2518,2019,
10.18739/A2D08X,10.5194/tc-13-1233-2019,https://doi.org/10.5194%2Ftc-13-1233-2019,2020-06-11,"Tingfeng Dou, Cunde Xiao, Jiping Liu, Wei Han, Zhiheng Du, Andrew R. Mahoney, Joshua Jones, Hajo Eicken",A key factor initiating surface ablation of Arctic sea ice: earlier and increasing liquid precipitation,Copernicus {GmbH,The Cryosphere,13,1233--1246,2019,
10.18739/A2D08X,10.5194/tc-13-775-2019,https://doi.org/10.5194%2Ftc-13-775-2019,2020-06-11,"Carie M. Frantz, Bonnie Light, Samuel M. Farley, Shelly Carpenter, Ross Lieblappen, Zoe Courville, M{\'{o}}nica V. Orellana, Karen Junge",Physical and optical characteristics of heavily melted {\textquotedblleft}rotten{\textquotedblright} Arctic sea ice,Copernicus {GmbH,The Cryosphere,13,775--793,2019,
10.18739/A2D08X,10.1029/2017jc013617,https://doi.org/10.1029%2F2017jc013617,2020-06-11,"Victoria J. Hill, Bonnie Light, Michael Steele, Richard C. Zimmerman",Light Availability and Phytoplankton Growth Beneath Arctic Sea Ice: Integrating Observations and Modeling,American Geophysical Union ({AGU}),Journal of Geophysical Research: Oceans,123,3651--3667,2018,
10.18739/A2BK16Q2C,10.3167/sib.2014.130102,https://doi.org/10.3167/sib.2014.130102,2020-09-27,Susan A. Crate,An Ethnography of Change in Northeastern Siberia: Whither an Interdisciplinary Role?,Berghahn Books,Sibirica,13,NULL,2014,
10.18739/A2BK16Q2C,10.1146/annurev.anthro.012809.104925,https://doi.org/10.1146/annurev.anthro.012809.104925,2020-09-27,Susan A. Crate,Climate and Culture: Anthropology in the Era of Contemporary Climate Change,Annual Reviews,Annual Review of Anthropology,40,175-194,2010,
10.18739/A2PD3N,10.1016/j.gca.2011.08.002,https://doi.org/10.1016/j.gca.2011.08.002,2020-09-27,"Brian A. Schubert, A. Hope Jahren",Quantifying seasonal precipitation using high-resolution carbon isotope analyses in evergreen wood,Elsevier BV,Geochimica et Cosmochimica Acta,75,7291-7303,2011,
10.18739/A2XK84Q7W,10.5194/bg-12-4017-2015,https://doi.org/10.5194/bg-12-4017-2015,2021-02-04,"M. L. Chipman, V. Hudspith, P. E. Higuera, P. A. Duffy, R. Kelly, W. W. Oswald, F. S. Hu",Spatiotemporal patterns of tundra fires: late-Quaternary charcoal records from Alaska,Copernicus GmbH,Biogeosciences,12,4017-4027,2015,
10.18739/A2G05D,10.5194/bg-12-4017-2015,https://doi.org/10.5194/bg-12-4017-2015,2021-02-04,"M. L. Chipman, V. Hudspith, P. E. Higuera, P. A. Duffy, R. Kelly, W. W. Oswald, F. S. Hu",Spatiotemporal patterns of tundra fires: late-Quaternary charcoal records from Alaska,Copernicus GmbH,Biogeosciences,12,4017-4027,2015,
10.18739/A2KS8D,10.5194/bg-12-4017-2015,https://doi.org/10.5194/bg-12-4017-2015,2021-02-04,"M. L. Chipman, V. Hudspith, P. E. Higuera, P. A. Duffy, R. Kelly, W. W. Oswald, F. S. Hu",Spatiotemporal patterns of tundra fires: late-Quaternary charcoal records from Alaska,Copernicus GmbH,Biogeosciences,12,4017-4027,2015,
10.18739/A2XK84Q7W,10.1890/150063,https://doi.org/10.1890/150063,2020-09-27,"Feng Sheng Hu, Philip E Higuera, Paul Duffy, Melissa L Chipman, Adrian V Rocha, Adam M Young, Ryan Kelly, Michael C Dietze",Arctic tundra fires: natural variability and responses to climate change,Wiley,Frontiers in Ecology and the Environment,13,369-377,2015,
10.18739/A2XK84Q7W,10.1177/0959683617702230,https://doi.org/10.1177/0959683617702230,2020-09-27,"Richard S Vachula, Melissa L Chipman, Feng Sheng Hu",Holocene climatic change in the Alaskan Arctic as inferred from oxygen-isotope and lake-sediment analyses at Wahoo Lake,SAGE Publications,The Holocene,27,1631-1644,2017,
10.18739/A25T3G079,10.5194/bg-10-4591-2013,https://doi.org/10.5194/bg-10-4591-2013,2020-09-27,"R. A. Eagle, J. M. Eiler, A. K. Tripati, J. B. Ries, P. S. Freitas, C. Hiebenthal, A. D. Wanamaker, M. Taviani, M. Elliot, S. Marenssi, K. Nakamura, P. Ramirez, K. Roy",The influence of temperature and seawater carbonate saturation state on &lt;sup&gt;13&lt;/sup&gt;C–&lt;sup&gt;18&lt;/sup&gt;O bond ordering in bivalve mollusks,Copernicus GmbH,Biogeosciences,10,4591-4606,2013,
10.18739/A2222R63G,10.1016/j.gca.2014.03.005,https://doi.org/10.1016/j.gca.2014.03.005,2020-09-27,"Jianwu Tang, Martin Dietzel, Alvaro Fernandez, Aradhna K. Tripati, Brad E. Rosenheim",Evaluation of kinetic effects on clumped isotope fractionation (Δ47) during inorganic calcite precipitation,Elsevier BV,Geochimica et Cosmochimica Acta,134,120-136,2014,
10.18739/A2FN10S5V,10.1007/s10021-016-9997-7,https://doi.org/10.1007/s10021-016-9997-7,2020-09-27,"Sean M. P. Cahoon, Patrick F. Sullivan, Eric Post",Greater Abundance of Betula nana and Early Onset of the Growing Season Increase Ecosystem CO2 Uptake in West Greenland,Springer Science and Business Media LLC,Ecosystems,19,1149-1163,2016,
10.5065/D6TT4P1W,10.2174/1874252101004010115,https://doi.org/10.2174/1874252101004010115,2020-08-20,John Christensen,"Mesoscale Distribution of Springtime Waters and Nutrients near the Continental Shelf Break, Beaufort Sea, Alaska~!2010-05-13~!2010-06-25~!2010-09-08~!",Bentham Science Publishers Ltd.,The Open Oceanography Journal,4,115-136,2010,
10.18739/A26M3340D,10.1038/s41597-020-00578-z,https://doi.org/10.1038/s41597-020-00578-z,2020-09-27,"Till M. Baumann, Igor V. Polyakov, Laurie Padman, Seth Danielson, Ilker Fer, Markus Janout, William Williams, Andrey V. Pnyushkov",Arctic tidal current atlas,Springer Science and Business Media LLC,Scientific Data,7,NULL,2020,
10.18739/A2H12V81B,10.1029/2020GL089469,https://doi.org/10.1029/2020GL089469,2020-09-27,"Igor V. Polyakov, Tom P. Rippeth, Ilker Fer, Till M. Baumann, Eddy C. Carmack, Vladimir V. Ivanov, Markus Janout, Laurie Padman, Andrey V. Pnyushkov, Robert Rember",Intensification of Near‐Surface Currents and Shear in the Eastern Arctic Ocean,American Geophysical Union (AGU),Geophysical Research Letters,47,NULL,2020,
10.18739/A25C5D,10.14430/arctic4735,https://doi.org/10.14430/arctic4735,2020-09-27,"Kate Lomac-MacNair, Martin Jakobsson, Alan Mix, Francis Freire, Kelly Hogan, Larry Mayer, Mari A. Smultea","Seal Occurrence and Habitat Use during Summer in Petermann Fjord, Northwestern Greenland",The Arctic Institute of North America,ARCTIC,71,NULL,2018,
10.18739/A2BK16Q2C,10.14430/arctic4312,https://doi.org/10.14430/arctic4312,2020-09-27,"Susan A. Crate, Alexander N. Fedorov",A Methodological Model for Exchanging Local and Scientific Climate Change Knowledge in Northeastern Siberia,The Arctic Institute of North America,ARCTIC,66,NULL,2014,
10.18739/A2BK16Q2C,10.3167/nc.2013.080202,https://doi.org/10.3167/nc.2013.080202,2020-09-27,"Timothy B. Leduc, Susan A Crate",Reflexive Shifts in Climate Research and Education: Toward Relocalizing Our Lives,Berghahn Books,Nature and Culture,8,134-161,2013,
10.18739/A2FN10S5V,10.1111/j.1461-0248.2012.01865.x,https://doi.org/10.1111/j.1461-0248.2012.01865.x,2020-09-27,"Sean M. P. Cahoon, Patrick F. Sullivan, Gaius R. Shaver, Jeffrey M. Welker, Eric Post",Interactions among shrub cover and the soil microclimate may determine future Arctic carbon budgets,Wiley,Ecology Letters,15,1415-1422,2012,
10.18739/A2FN10S5V,10.1002/ecs2.1245,https://doi.org/10.1002/ecs2.1245,2020-09-27,"Sean M. P. Cahoon, Patrick F. Sullivan, Eric Post",Carbon and water relations of contrasting Arctic plants: implications for shrub expansion in West Greenland,Wiley,Ecosphere,7,NULL,2016,
10.18739/A2FN10S5V,10.1016/j.dendro.2015.12.007,https://doi.org/10.1016/j.dendro.2015.12.007,2020-09-27,"Amanda B. Young, David A. Watts, Alan H. Taylor, Eric Post",Species and site differences influence climate-shrub growth responses in West Greenland,Elsevier BV,Dendrochronologia,37,69-78,2015,
10.18739/A2SP6G,10.1002/ppp.558,https://doi.org/10.1002/ppp.558,2020-09-27,"M. T. Bray, H. M. French, Y. Shur","Further cryostratigraphic observations in the CRREL permafrost tunnel, Fox, Alaska",Wiley,Permafrost and Periglacial Processes,17,233-243,2006,
